ID,Nombre,Ubicacion
1,Sensor_1,Zona_38
2,Sensor_2,Zona_37
3,Sensor_3,Zona_48
4,Sensor_4,Zona_30
5,Sensor_5,Zona_44
6,Sensor_6,Zona_48
7,Sensor_7,Zona_30
8,Sensor_8,Zona_9
9,Sensor_9,Zona_25
10,Sensor_10,Zona_17
11,Sensor_11,Zona_19
12,Sensor_12,Zona_1
13,Sensor_13,Zona_29
14,Sensor_14,Zona_31
15,Sensor_15,Zona_10
16,Sensor_16,Zona_24
17,Sensor_17,Zona_24
18,Sensor_18,Zona_22
19,Sensor_19,Zona_10
20,Sensor_20,Zona_1
21,Sensor_21,Zona_44
22,Sensor_22,Zona_48
23,Sensor_23,Zona_16
24,Sensor_24,Zona_24
25,Sensor_25,Zona_14
26,Sensor_26,Zona_35
27,Sensor_27,Zona_34
28,Sensor_28,Zona_1
29,Sensor_29,Zona_48
30,Sensor_30,Zona_39
31,Sensor_31,Zona_4
32,Sensor_32,Zona_40
33,Sensor_33,Zona_21
34,Sensor_34,Zona_18
35,Sensor_35,Zona_27
36,Sensor_36,Zona_32
37,Sensor_37,Zona_43
38,Sensor_38,Zona_42
39,Sensor_39,Zona_23
40,Sensor_40,Zona_29
41,Sensor_41,Zona_27
42,Sensor_42,Zona_8
43,Sensor_43,Zona_16
44,Sensor_44,Zona_50
45,Sensor_45,Zona_35
46,Sensor_46,Zona_6
47,Sensor_47,Zona_32
48,Sensor_48,Zona_26
49,Sensor_49,Zona_18
50,Sensor_50,Zona_20
51,Sensor_51,Zona_19
52,Sensor_52,Zona_48
53,Sensor_53,Zona_38
54,Sensor_54,Zona_2
55,Sensor_55,Zona_33
56,Sensor_56,Zona_30
57,Sensor_57,Zona_48
58,Sensor_58,Zona_18
59,Sensor_59,Zona_19
60,Sensor_60,Zona_31
61,Sensor_61,Zona_19
62,Sensor_62,Zona_25
63,Sensor_63,Zona_38
64,Sensor_64,Zona_9
65,Sensor_65,Zona_49
66,Sensor_66,Zona_46
67,Sensor_67,Zona_50
68,Sensor_68,Zona_2
69,Sensor_69,Zona_12
70,Sensor_70,Zona_50
71,Sensor_71,Zona_32
72,Sensor_72,Zona_50
73,Sensor_73,Zona_43
74,Sensor_74,Zona_7
75,Sensor_75,Zona_48
76,Sensor_76,Zona_49
77,Sensor_77,Zona_27
78,Sensor_78,Zona_34
