ID,DispositivoID,Fecha,Valor,Estado
1,7733,2026-03-27,72.77,Activo
2,1359,2026-03-27,93.35,Activo
3,8755,2026-03-27,90.87,Activo
4,9797,2026-03-27,76.86,Activo
5,9462,2026-03-27,30.05,Activo
6,385,2026-03-27,95.11,Activo
7,419,2026-03-27,95.28,Activo
8,5764,2026-03-27,72.94,Activo
9,568,2026-03-27,72.6,Activo
10,7831,2026-03-27,79.32,Activo
11,7263,2026-03-27,50.73,Activo
12,70,2026-03-27,69.34,Activo
13,8701,2026-03-27,69.92,Activo
14,4615,2026-03-27,20.84,Activo
15,4626,2026-03-27,60.03,Activo
16,7578,2026-03-27,66.31,Activo
17,2637,2026-03-27,64.68,Activo
18,7569,2026-03-27,95.0,Activo
19,9662,2026-03-27,99.57,Activo
20,8998,2026-03-27,71.42,Activo
21,405,2026-03-27,68.08,Activo
22,4671,2026-03-27,64.0,Activo
23,2387,2026-03-27,25.95,Activo
24,3327,2026-03-27,90.65,Activo
25,1237,2026-03-27,87.91,Activo
26,6927,2026-03-27,80.11,Activo
27,4692,2026-03-27,21.84,Activo
28,2435,2026-03-27,26.17,Activo
29,9770,2026-03-27,26.35,Activo
30,8912,2026-03-27,66.21,Activo
31,3394,2026-03-27,80.14,Activo
32,6367,2026-03-27,22.45,Activo
33,8203,2026-03-27,57.75,Activo
34,6984,2026-03-27,78.97,Activo
35,220,2026-03-27,94.53,Activo
36,3790,2026-03-27,94.66,Activo
37,7829,2026-03-27,84.76,Activo
38,1665,2026-03-27,84.34,Activo
39,3750,2026-03-27,20.87,Activo
40,7320,2026-03-27,69.6,Activo
41,5458,2026-03-27,47.36,Activo
42,1007,2026-03-27,37.55,Activo
43,9063,2026-03-27,85.98,Activo
44,7638,2026-03-27,79.2,Activo
45,6560,2026-03-27,75.42,Activo
46,3960,2026-03-27,59.58,Activo
47,9705,2026-03-27,58.98,Activo
48,5005,2026-03-27,90.98,Activo
49,9377,2026-03-27,22.47,Activo
50,2112,2026-03-27,61.99,Activo
51,6697,2026-03-27,57.15,Activo
52,7014,2026-03-27,24.52,Activo
53,6405,2026-03-27,33.21,Activo
54,4043,2026-03-27,45.82,Activo
55,1874,2026-03-27,99.28,Activo
56,4014,2026-03-27,50.82,Activo
57,152,2026-03-27,57.23,Activo
58,7827,2026-03-27,50.29,Activo
59,2654,2026-03-27,29.38,Activo
60,2582,2026-03-27,52.28,Activo
61,4391,2026-03-27,85.07,Activo
62,199,2026-03-27,87.75,Activo
63,9898,2026-03-27,87.59,Activo
64,9802,2026-03-27,81.26,Activo
65,2723,2026-03-27,50.82,Activo
66,4385,2026-03-27,23.06,Activo
67,1598,2026-03-27,84.1,Activo
68,6805,2026-03-27,90.86,Activo
69,4706,2026-03-27,97.38,Activo
70,2435,2026-03-27,79.16,Activo
71,6956,2026-03-27,30.91,Activo
72,2576,2026-03-27,52.42,Activo
73,8661,2026-03-27,77.33,Activo
74,5736,2026-03-27,90.6,Activo
75,1413,2026-03-27,46.3,Activo
76,4250,2026-03-27,61.1,Activo
77,4728,2026-03-27,82.89,Activo
78,1966,2026-03-27,80.17,Activo
79,3024,2026-03-27,49.05,Activo
80,3504,2026-03-27,86.88,Activo
81,2644,2026-03-27,94.83,Activo
82,8329,2026-03-27,95.47,Activo
83,8241,2026-03-27,65.99,Activo
84,6480,2026-03-27,91.95,Activo
85,4732,2026-03-27,23.07,Activo
86,792,2026-03-27,70.43,Activo
87,3172,2026-03-27,63.16,Activo
88,6369,2026-03-27,52.02,Activo
89,5246,2026-03-27,78.81,Activo
90,4301,2026-03-27,82.75,Activo
91,148,2026-03-27,81.55,Activo
92,4728,2026-03-27,76.06,Activo
93,9427,2026-03-27,63.18,Activo
94,2764,2026-03-27,87.05,Activo
95,5283,2026-03-27,72.03,Activo
96,9952,2026-03-27,43.51,Activo
97,5368,2026-03-27,81.83,Activo
98,6501,2026-03-27,31.39,Activo
99,9953,2026-03-27,43.15,Activo
100,9281,2026-03-27,35.91,Activo
101,9677,2026-03-27,69.23,Activo
102,7835,2026-03-27,24.37,Activo
103,9460,2026-03-27,23.58,Activo
104,5355,2026-03-27,68.83,Activo
105,3401,2026-03-27,82.92,Activo
106,6196,2026-03-27,46.45,Activo
107,5532,2026-03-27,41.52,Activo
108,3669,2026-03-27,44.27,Activo
109,6617,2026-03-27,49.96,Activo
110,967,2026-03-27,70.77,Activo
111,9183,2026-03-27,74.65,Activo
112,7525,2026-03-27,27.84,Activo
113,4346,2026-03-27,39.22,Activo
114,5584,2026-03-27,45.45,Activo
115,5682,2026-03-27,31.31,Activo
116,3567,2026-03-27,84.65,Activo
117,3779,2026-03-27,35.3,Activo
118,2879,2026-03-27,88.7,Activo
119,1314,2026-03-27,90.21,Activo
120,7516,2026-03-27,52.66,Activo
121,3366,2026-03-27,60.2,Activo
122,7396,2026-03-27,67.68,Activo
123,9821,2026-03-27,99.89,Activo
124,1505,2026-03-27,94.0,Activo
125,4733,2026-03-27,29.77,Activo
126,3344,2026-03-27,53.31,Activo
127,9345,2026-03-27,53.4,Activo
128,1143,2026-03-27,26.59,Activo
129,8664,2026-03-27,72.47,Activo
130,4951,2026-03-27,40.12,Activo
131,3644,2026-03-27,82.98,Activo
132,1099,2026-03-27,20.21,Activo
133,61,2026-03-27,36.4,Activo
134,3443,2026-03-27,65.78,Activo
135,8606,2026-03-27,55.28,Activo
136,7988,2026-03-27,84.76,Activo
137,1932,2026-03-27,46.69,Activo
138,5015,2026-03-27,29.69,Activo
139,7117,2026-03-27,63.64,Activo
140,6399,2026-03-27,49.11,Activo
141,4690,2026-03-27,44.92,Activo
142,7019,2026-03-27,92.55,Activo
143,7403,2026-03-27,24.99,Activo
